identifier_query,identifier_db
CHCC5614_ID_1_5,WP_041931175.1
CHCC5614_ID_1_8,WP_014734946.1
CHCC5614_ID_1_10,WP_011834620.1
CHCC5614_ID_1_14,WP_161769936.1
CHCC5614_ID_1_20,WP_011675768.1
CHCC5614_ID_1_22,WP_011834608.1
CHCC5614_ID_1_28,WP_042748520.1
CHCC5614_ID_1_31,WP_042748517.1
CHCC5614_ID_1_32,WP_011834603.1
CHCC5614_ID_1_35,WP_041931254.1
